"country" "total_persons"
"Itálie" "133"
"Rakousko" "118"
"Nìmecko" "24"
"Velká Británie" "16"
"Francie" "12"
"USA" "12"
"Švýcarsko" "12"
"Španìlsko" "11"
"Turecko" "9"
"Dominikánská republika" "7"
"Maïarsko" "6"
"Belgie" "5"
"Slovensko" "4"
"Argentina" "4"
"Irsko" "3"
"Egypt" "3"
"Izrael" "3"
"Mexiko" "2"
"Spojené arabské emiráty" "2"
"Thajsko" "2"
"Portugalsko" "2"
"Nizozemsko" "2"
"Dánsko" "2"
"Polsko" "1"
"Jihoafrická republika" "1"
"Filipíny" "1"
"Øecko" "1"
"Kanada" "1"
"Slovinsko" "1"
"Kamerun" "1"
"Albánie" "1"
"Švédsko" "1"
"Indonésie" "1"
"Omán" "1"
