"Region" "Brýle" "Dezinfekce (l)" "Roušky" "Respirátory" "Odbìrové sady" "Rukavice" "Rychlotesty" "Štíty" "Tampóny" "Ochranné odìvy"
"Hlavní mìsto Praha" "2 000" "7 580" "489 563" "143 640" "6 500" "67 700" "17 000" "730" "500" "9 006"
"Støedoèeský kraj" "50" "625" "31 755" "9 500" "" "25 200" "12 000" "" "" "100"
"Jihoèeský kraj" "610" "1 085" "58 492" "16 130" "" "11 250" "3 000" "385" "300" "1 400"
"Plzeòský kraj" "524" "5 185" "107 599" "24 620" "" "9 100" "3 000" "12" "300" "1 750"
"Karlovarský kraj" "10" "1 155" "37 449" "11 296" "" "10 500" "3 000" "" "300" "620"
"Ústecký kraj" "650" "1 685" "92 005" "31 140" "" "17 900" "3 000" "" "400" "450"
"Liberecký kraj" "" "930" "54 290" "15 430" "" "6 000" "3 000" "5" "300" ""
"Královéhradecký kraj" "400" "570" "83 117" "17 290" "" "7 000" "3 000" "100" "300" "25"
"Pardubický kraj" "640" "615" "46 544" "10 085" "" "9 400" "3 000" "500" "300" "3 190"
"Kraj Vysoèina" "260" "895" "44 556" "11 630" "" "7 200" "3 000" "" "600" "330"
"Jihomoravský kraj" "1 570" "5 040" "163 367" "48 610" "450" "15 000" "3 000" "1 165" "300" "4 370"
"Olomoucký kraj" "870" "2 555" "74 923" "30 580" "" "19 000" "29 000" "600" "600" "1 050"
"Zlínský kraj" "540" "730" "45 087" "19 500" "" "13 400" "2 000" "340" "300" "750"
"Moravskoslezský kraj" "1 020" "2 600" "96 309" "19 820" "" "18 200" "6 000" "6" "300" "5 686"
"celkový poèet" "9 144" "31 250" "1 425 056" "409 271" "6 950" "236 850" "93 000" "3 843" "4 800" "28 727"
