"date_at" "total_persons"
2020-02-27 "0"
2020-02-28 "0"
2020-02-29 "3"
2020-03-01 "4"
2020-03-02 "4"
2020-03-03 "7"
2020-03-04 "10"
2020-03-05 "13"
2020-03-06 "19"
2020-03-07 "28"
2020-03-08 "37"
2020-03-09 "45"
2020-03-10 "61"
2020-03-11 "92"
2020-03-12 "121"
2020-03-13 "158"
2020-03-14 "221"
2020-03-15 "298"
2020-03-16 "387"
2020-03-17 "474"
2020-03-18 "570"
2020-03-19 "678"
2020-03-20 "783"
2020-03-21 "886"
2020-03-22 "973"
2020-03-23 "1100"
2020-03-24 "1294"
2020-03-25 "1490"
2020-03-26 "1698"
2020-03-27 "1890"
2020-03-28 "1964"
